Label,label_id
Hypnotic Dirge,25664
"Hickman Holler, RCA",25926
Buddha Records,17986
The Label Group,28590
Temporary Residence Ltd.,1720
"Spring Snow, Columbia",24945
Sunday Best Recordings,25836
"OVO Sound, Warner Bros.",9463
Mono Mundo Recordings,32290
"Maybach, Epic",26369
Mascot Records,23674
Bread Winners' Association,26808
RCA International,21142
Monument,15180
Simco,27031
Century Media Records,4007
Geographic,27787
Greenway,22602
Dais,16722
kranky,18014
Martha's Music,10701
Rough Trade Records,79
Mantra,2634
"Leaving, PLANCHA",27643
Silver Lining,21258
True Panther,1523
Holy Roar,8305
"Kranky, 4AD",626
â„— 2019 Speakerbox Recordings Limited under,25002
The Antlers,65
Mezzotint,13021
Not Not Fun,1441
MVD Audio,26933
Beachwood Park,31714
PAN Records,26751
Palilalia,20670
Ropeadope,12332
Babymetal,26239
Roon,27563
I.O.T,25051
"Free Nation, Cinematic",27380
Awful,16340
Top Dawg,2046
Thistlefield,18338
Rap Vacation,26985
TSM Recordings,28924
Red House,15838
Dutch,25135
12th Street,4865
Sire,264
Alamo,23432
Honeymoon,26711
Muddguts,26977
Zirkulo,5312
Warner Brothers,444
Other People / Matador,6209
Silver Lining Music,26970
Konichiwa,1337
14th Floor,872
Keep Cool / RCA,25242
Hit City U.S.A.,6767
Josie,5503
"Elektra, Capitol",9373
Trouble In Mind Records,25533
Musique TOPS,27530
PGM,25004
"Season of Mist, Prosthetic",20817
Tomplicated,27608
"Kitty-Yo, XL",5135
Southeastern,13040
"International Anthem, Nonesuch",27420
Internal/FFRR,11482
852 Musiq,20624
Grand Jury Music,28721
LaFlare Records / EMPIRE,27099
Wax Nine,21467
Radar,4290
"300, Atlantic",22874
"Wax Nine, Carpark",27602
U OK?,28988
New Amsterdam,8419
Syco,2558
Regal Recordings,8025
Secret City,934
Padiddle,27375
Union IV Recordings,25213
Kamera,4394
Kemosabe,10203
Sony Music Entertainment,6436
Griselda,23387
Profound Love,12397
"More Is More, EMPIRE",27648
"Atlantic, Barsuk",620
Sony BMG / Puscifer Entertainment,9808
